src_lead_id,system_id,src_branch_id,brand_id,product_of_interest,brand,branch_name,region,site_group,enterprise_ad_category,enterprise_ad_sub_category,entp_customer_id,entp_entity_id,match_type,Customer_Name,Customer_Email,Customer_Email_Normalized,Customer_Phone,Customer_Address_1,Customer_City,Customer_State,Customer_Zip_Postal,Customer_Country,customer_mapping,customer_count,Lead_Created_Date,First_Set_Date,First_Appointment_Date,First_Meet_Date,First_Booked_Date,Cancel_Date,Install_Date,Raw_Leads,Opps,Speed_2_Meet,Meets,Jobs_Sold_Gross,Bookings_Gross,Financed_Amount,Finance_Turndown,Finance_Turndown_Amount,Jobs_Cancelled,Bookings_Cancel,Installed_Jobs,Revenue,appt_statuses,appt_ids,setby_user_ids,meet_appt_statuses,meet_appt_ids,contract_ids,sales_rep_ids,product_ids,finance_plan_ids,cancel_reasons,cancel_contract_ids,cancel_finance_plan_ids,cancel_product_ids,job_ids,rev_contract_ids,rev_product_ids,installer_ids
97e56c09-d949-eb11-a813-000d3a31e53d,Champion_CE,47e79fd8-a686-e911-a974-000d3a597bf5,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Fort Worth,South West,Legacy,REF - 12/14,REF - 12/14,2.59396E+18,ffffe19fb3fc88c668d48e614a8444e0334a537331367513bb95aa3fccb716a6,no_match,Jennifer Oliver,sarayoung@example.org,sarayoung@example.org,5634216073,5433 Donna Locks,Joshualand,WI,37086,USA,"[{""customer_id"":""9bf07381-f837-eb11-a813-000d3a347b72"",""system_id"":""Champion_CE""}]",1,2020-12-29 13:23:33,2015-02-02 00:00:00,2015-02-05 00:00:00,null,null,null,null,1,1,3,null,null,null,null,null,null,null,null,null,null,"[""Early Prospect""]",[],[],null,null,null,null,null,null,null,null,null,null,null,null,null,null
7d4b15f4-0c38-eb11-a813-000d3a31e53d,Champion_CE,47e79fd8-a686-e911-a974-000d3a597bf5,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Fort Worth,South West,Legacy,OL-CORP 1/15,OL-CORP 1/15,2.59396E+18,ffffe19fb3fc88c668d48e614a8444e0334a537331367513bb95aa3fccb716a6,no_match,Jordan Frazier,sheila14@example.org,sheila14@example.org,5698169340,88356 Stacy Isle Suite 148,Elizabethmouth,MO,91885,USA,"[{""customer_id"":""9bf07381-f837-eb11-a813-000d3a347b72"",""system_id"":""Champion_CE""}]",1,2020-12-06 21:49:46,2017-12-27 00:00:00,2017-12-28 11:00:00,2017-12-28 11:00:00,null,null,null,1,1,1,1,null,null,null,null,null,null,null,null,null,"[""Sit""]",[],[],"[""Sit""]",[],null,null,null,null,null,null,null,null,null,null,null,null
3695415,LG_Centah,2709,LG,84,LeafGuard,Connecticut,North East,2021,Lead Aggregator,Modernize,-2.25937E+18,ffffd40a6c66625475635da777c1dcc8ff15f1731299bc7e839efaa25802d3ae,no_match,Cameron Fisher,lbyrd@example.net,lbyrd@example.net,3699577738,214 Davis Terrace Apt. 433,North Brandon,NJ,80621,USA,"[{""customer_id"":""3695415"",""system_id"":""LG_Centah""}]",1,2024-06-13 08:12:28,2024-06-13 08:12:28,null,null,null,null,null,1,1,null,null,null,null,null,null,null,null,null,null,null,"[""Cancelled During Qualification""]","[""3695415""]","[""30536""]",null,null,null,null,null,null,null,null,null,null,null,null,null,null
b01af46d-ab26-ec11-b6e5-000d3a3b8336,Champion_CE,49e79fd8-a686-e911-a974-000d3a597bf5,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Grand Rapids,Lake,Legacy,TV,TV,8.88051E+18,ffffcd72d2371788e219230829966d5e0f3caafe63b64fbddd0d902451d9377d,no_match,Angel Perry,jennifercruz@example.com,jennifercruz@example.com,6328708317,8895 Salazar Stravenue,Rivasside,NV,21362,USA,"[{""customer_id"":""169cf761-ab26-ec11-b6e5-000d3a3b8336"",""system_id"":""Champion_CE""}]",1,2021-10-06 13:43:57,2021-10-06 13:43:57,2021-10-20 11:00:00,2021-10-20 11:00:00,null,null,null,1,1,13,1,null,null,null,null,null,null,null,null,null,"[""Sit""]",[],[],"[""Sit""]",[],null,null,null,null,null,null,null,null,null,null,null,null
811677,UWD_LeadPerfection,BAL,UWD,Windows,Universal Windows Direct,Baltimore,None,2022,Lead Aggregator,Contractor Connection,8.01555E+18,ffffc9329acffb97dd156a7be8bbe36a9b5e379ccf93af616d533d7247a94446,no_match,Karen Green,maryramirez@example.net,maryramirez@example.net,1434558122,2316 Rivera Mountain,Brownchester,MS,77057,null,"[{""customer_id"":""701333"",""system_id"":""UWD_LeadPerfection""}]",1,2023-03-20 14:38:28,2023-03-20 14:45:29,2023-03-27 16:30:00,2023-03-27 16:30:00,null,null,null,1,1,7,1,null,null,null,null,null,null,null,null,null,"[""Pitch Miss: 1Legger""]","[""580494""]","[""1131""]","[""Pitch Miss: 1Legger""]","[""580494""]",null,null,null,null,null,null,null,null,null,null,null,null
358054,KD_LeadPerfection,30,KD,Unknown,K-Designers,Denver,None,Legacy,Lead Aggregator,Quinstreet,-2.64856E+18,ffffc615a8938321e3d0dbdaae0d22799cba147bc6ba348977763bab555f76fa,no_match,Alicia Gilmore,wwoods@example.com,wwoods@example.com,8937346706,627 Tina Place Apt. 699,North Dawnberg,VI,61016,USA,"[{""customer_id"":""3227026"",""system_id"":""KD_LeadPerfection""}]",1,2024-09-16 13:55:26,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
79902,UWD_LeadPerfection,CLE,UWD,null,Universal Windows Direct,Cleveland,None,Legacy,Internet,Sweepstakes,-1.95776E+18,ffffc594d569c23a28515700585ce88065c7caae8c6f2e492ed303fa3025d23c,no_match,David Murphy,wmurphy@example.com,wmurphy@example.com,7080531003,92327 Anne Forge,Lyonsstad,GA,79916,null,"[{""customer_id"":""73419"",""system_id"":""UWD_LeadPerfection""}]",1,2015-12-11 08:47:55,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
05bc0fcc-9f32-ed11-9db0-000d3a595611,Champion_CE,49e79fd8-a686-e911-a974-000d3a597bf5,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Grand Rapids,Lake,Legacy,Signage,Yard Sign,8.35381E+18,ffffb8b8664af1710bd2ad15612c9c51ed8cac77409e3e604bb653365ba2728c,no_match,Nicole Wilson,tamirodriguez@example.org,tamirodriguez@example.org,3193149190,651 Smith Manor Suite 165,Zimmermanchester,HI,96681,USA,"[{""customer_id"":""20bb0fcc-9f32-ed11-9db0-000d3a595611"",""system_id"":""Champion_CE""}]",1,2022-09-12 13:35:51,2022-09-12 13:35:51,2022-09-17 09:00:00,2022-09-17 09:00:00,2022-09-20 13:57:33,2022-09-23 14:01:54,null,1,1,4,1,1,10000,null,0,null,1,10000,1,10000,"[""Won""]",[],[],"[""Won""]",[],"[""0a589b26-ec38-ed11-9db1-000d3a3717b7""]","[""Joseph Hill""]","[""1""]",[],[],"[""0a589b26-ec38-ed11-9db1-000d3a3717b7""]",[],[],[],"[""0a589b26-ec38-ed11-9db1-000d3a3717b7""]",[],[]
bd47f621-bc6b-ee11-8df0-000d3a3540ad,Champion_CE,ae3d0334-8b5b-e911-a964-000d3a597152,CHMP,e05e111f-b590-e811-8137-3863bb35bfb8,Champion,Kansas City,Central,Legacy,Internet,Online,-1.16048E+18,ffffb3c086d41accb5ef4dcb532987320ab0bca8b1c401603964c8b9b63dc13e,exact,Marie Gilbert,umarshall@example.net,umarshall@example.net,7379965075,3545 Beard Squares,Angelahaven,ID,11722,USA,"[{""customer_id"":""f4fbfd1b-bc6b-ee11-8df0-000d3a3540ad"",""system_id"":""Champion_CE""},{""customer_id"":""3991072"",""system_id"":""LG_Centah""},{""customer_id"":""2cf02f19-5863-ee11-be6e-00224804981c"",""system_id"":""Champion_CE""},{""customer_id"":""3412069"",""system_id"":""LG_Centah""}]",4,2023-10-16 00:37:15,2023-10-16 00:37:15,2023-10-21 15:00:00,2023-10-21 15:00:00,null,null,null,1,1,5,1,null,null,null,null,null,null,null,null,null,"[""Sit""]",[],[],"[""Sit""]",[],null,null,null,null,null,null,null,null,null,null,null,null
d253461c-5863-ee11-be6e-0022480491ad,Champion_CE,b893f598-0e72-471a-bd8d-9130641ff105,CHMP,Vinyl Siding - Install or Completely Replace,null,null,null,null,Lead Aggregator,Home Advisor,-1.16048E+18,ffffb3c086d41accb5ef4dcb532987320ab0bca8b1c401603964c8b9b63dc13e,exact,Jason Peters,hannahbrewer@example.com,hannahbrewer@example.com,3634957885,855 Nelson Glen Apt. 135,Lake Amandaburgh,ID,28862,USA,"[{""customer_id"":""f4fbfd1b-bc6b-ee11-8df0-000d3a3540ad"",""system_id"":""Champion_CE""},{""customer_id"":""3991072"",""system_id"":""LG_Centah""},{""customer_id"":""2cf02f19-5863-ee11-be6e-00224804981c"",""system_id"":""Champion_CE""},{""customer_id"":""3412069"",""system_id"":""LG_Centah""}]",4,2023-10-05 08:21:00,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3412069,LG_Centah,2714,LG,84,LeafGuard,Vermont,North East,2021,Lead Aggregator,Modernize,-1.16048E+18,ffffb3c086d41accb5ef4dcb532987320ab0bca8b1c401603964c8b9b63dc13e,exact,Destiny Lawrence,tina34@example.org,tina34@example.org,4008427109,7752 Johnny Wall Suite 116,Joneston,FL,20056,USA,"[{""customer_id"":""f4fbfd1b-bc6b-ee11-8df0-000d3a3540ad"",""system_id"":""Champion_CE""},{""customer_id"":""3991072"",""system_id"":""LG_Centah""},{""customer_id"":""2cf02f19-5863-ee11-be6e-00224804981c"",""system_id"":""Champion_CE""},{""customer_id"":""3412069"",""system_id"":""LG_Centah""}]",4,2023-08-04 19:49:16,2023-08-04 19:49:16,null,null,null,null,null,1,1,null,null,null,null,null,null,null,null,null,null,null,"[""Cancelled During Qualification""]","[""3412069""]","[""30536""]",null,null,null,null,null,null,null,null,null,null,null,null,null,null
d00060d9-c33d-eb11-a813-000d3a347b72,Champion_CE,3be79fd8-a686-e911-a974-000d3a597bf5,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Colorado Springs,West,Legacy,EV-GEN,EV-GEN,4.87241E+18,ffff9a61a9cb19972626b0b9fd60db139c11b77f1d30d3ae15c66b0c28bb5ed3,exact,Tiffany Miller,davidduran@example.net,davidduran@example.net,4964990913,1232 Eric Lodge,Norrisfort,LA,04779,USA,"[{""customer_id"":""3caf7166-8b56-ea11-a811-000d3a31e89e"",""system_id"":""Champion_CE""},{""customer_id"":""e260cee3-b33d-eb11-a813-000d3a31e53d"",""system_id"":""Champion_CE""}]",2,2020-12-14 04:21:34,2020-02-23 00:00:00,2020-02-25 15:00:00,2020-02-25 15:00:00,2020-12-14 07:29:18,null,2020-07-22 00:00:00,1,1,2,1,1,7439,null,0,null,null,null,1,7439,"[""Won""]",[],[],"[""Won""]",[],"[""b9fcc10e-de3d-eb11-a813-000d3a31ee79""]","[""Rich Biskner""]",[],[],null,null,null,null,[],"[""b9fcc10e-de3d-eb11-a813-000d3a31ee79""]",[],[]
e660834c-fa24-f011-8c4e-00224804c88f,Champion_CE,5fe79fd8-a686-e911-a974-000d3a597bf5,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Raleigh,East,Legacy,TV,TV,-5.35752E+18,ffff9508dee7bdfc545d92a66e0edc6ceb5a174d409e9e51f70c3fe76378e4fa,no_match,Michael Warner,ojones@example.com,ojones@example.com,2421024994,74648 Kim Rapid Apt. 659,Anthonybury,TX,75893,USA,"[{""customer_id"":""ad60834c-fa24-f011-8c4e-00224804c88f"",""system_id"":""Champion_CE""}]",1,2025-04-29 13:03:18,2025-04-29 13:03:18,2025-05-05 15:00:00,null,null,null,null,1,1,6,null,null,null,null,null,null,null,null,null,null,"[""Canceled""]",[],[],null,null,null,null,null,null,null,null,null,null,null,null,null,null
d733ce5d-8fdb-ee11-904d-002248049a2e,Champion_CE,b893f598-0e72-471a-bd8d-9130641ff105,CHMP,Window Install,null,null,null,null,Lead Aggregator,House Method Micro Site,1.82247E+17,ffff948bb3e9caf3f13ecf753936ed7f5cd50740aeee7b4581b05be82f551e4e,no_match,Alicia Hubbard,barbara27@example.net,barbara27@example.net,6717565512,7468 Shawn Island Suite 516,Lake Mollymouth,MT,07605,USA,"[{""customer_id"":""87498e58-8fdb-ee11-904d-0022480491f5"",""system_id"":""Champion_CE""}]",1,2024-03-06 07:58:50,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1436ea19-8459-eb11-a812-000d3a3ab684,Champion_CE,57e79fd8-a686-e911-a974-000d3a597bf5,CHMP,2cccded7-b590-e811-813e-3863bb348810,Champion,Minneapolis,Central,Legacy,OL-Corp03.2016,OL-Corp03.2016,9.04429E+18,ffff93a27183d2ca31d5548a82844b71169205b0b964e092e369d85c7886c4da,no_match,Isaiah Avila,nwolf@example.com,nwolf@example.com,7109324808,31712 Cantu Highway Suite 677,South Andrea,MS,25484,USA,"[{""customer_id"":""b475c4c9-b751-eb11-a813-000d3a361de9"",""system_id"":""Champion_CE""}]",1,2021-01-18 11:55:52,2016-03-28 00:00:00,2016-04-05 00:00:00,2016-04-05 00:00:00,null,null,null,1,1,8,1,null,null,null,null,null,null,null,null,null,"[""Sit""]",[],[],"[""Sit""]",[],null,null,null,null,null,null,null,null,null,null,null,null
230fcc97-ab99-f011-b4cc-0022480402e6,Champion_CE,55e79fd8-a686-e911-a974-000d3a597bf5,CHMP,de5e111f-b590-e811-8137-3863bb35bfb8,Champion,Memphis,Central,Legacy,Partnership,Partnership,-7.65248E+17,ffff930795b3df50ec806575717e79d509bc7b3fe794035c315a39072b3563ba,no_match,Katie Suarez,hillkristy@example.com,hillkristy@example.com,4499727875,867 Kane Square Apt. 963,Williamsfort,VT,50469,USA,"[{""customer_id"":""b121ca91-ab99-f011-b4cc-0022480402e6"",""system_id"":""Champion_CE""}]",1,2025-09-25 01:04:39,2025-09-25 01:04:39,2025-10-13 14:00:00,null,null,null,null,1,1,18,null,null,null,null,null,null,null,null,null,null,"[""Canceled""]",[],[],null,null,null,null,null,null,null,null,null,null,null,null,null,null
3847048,LG_Centah,2691,LG,84,LeafGuard,Knoxville,East,2020,Affiliate,Quinstreet Exclusive,5.5447E+18,ffff91bb9fdda3bde262732351973ff1475306b3d0fff2fc58ad4326402d6ae8,no_match,Matthew Hoover,tylerjohnson@example.net,tylerjohnson@example.net,7026217459,158 Finley Road Suite 809,East Crystalport,IN,98381,USA,"[{""customer_id"":""3847048"",""system_id"":""LG_Centah""}]",1,2024-10-04 21:39:35,2024-10-04 21:39:35,null,null,null,null,null,1,1,null,null,null,null,null,null,null,null,null,null,null,"[""Cancelled During Qualification""]","[""3847048""]","[""30536""]",null,null,null,null,null,null,null,null,null,null,null,null,null,null
af1ca932-8710-ef11-9f8a-000d3a354b89,Champion_CE,20f6be9b-0daf-ee11-a569-00224804959b,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Savannah,East,2024,Social Media,Social Media,-5.34564E+18,ffff913d5363e9790e5e4bce48c60bb5da5de0686b2853a3774ffd4eb6e2c05d,no_match,William Hodges,wallaceheather@example.org,wallaceheather@example.org,5623869222,693 Durham Divide,South Dana,NH,33967,USA,"[{""customer_id"":""db51eff4-8610-ef11-9f8a-000d3a3549cc"",""system_id"":""Champion_CE""}]",1,2024-05-12 17:43:56,2024-05-12 17:43:56,2024-05-22 12:00:00,null,null,null,null,1,1,9,null,null,null,null,null,null,null,null,null,null,"[""Merged Record""]",[],[],null,null,null,null,null,null,null,null,null,null,null,null,null,null
53a0e7fa-8610-ef11-9f8a-000d3a3549cc,Champion_CE,20f6be9b-0daf-ee11-a569-00224804959b,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Savannah,East,2024,Social Media,Social Media,-5.34564E+18,ffff913d5363e9790e5e4bce48c60bb5da5de0686b2853a3774ffd4eb6e2c05d,no_match,Stephanie Marshall,erica21@example.com,erica21@example.com,4743671369,440 Hill Port Apt. 974,New Laurie,IN,83943,USA,"[{""customer_id"":""db51eff4-8610-ef11-9f8a-000d3a3549cc"",""system_id"":""Champion_CE""}]",1,2024-05-12 17:42:22,2024-05-12 17:42:22,2024-05-31 09:00:00,2024-05-31 09:00:00,2024-05-31 20:53:12,null,2024-11-04 09:30:00,1,1,18,1,1,35580,35580,0,null,null,null,1,35580,"[""Won""]",[],[],"[""Won""]",[],"[""fbe97bc9-8f1f-ef11-840b-000d3a3b538d""]","[""Jamie Rowe""]","[""1""]","[""No interest if paid in full within 12 months, no promo payments due""]",null,null,null,null,[],"[""fbe97bc9-8f1f-ef11-840b-000d3a3b538d""]",[],[]
224c0525-8710-ef11-9f8a-000d3a3549cc,Champion_CE,20f6be9b-0daf-ee11-a569-00224804959b,CHMP,dc5e111f-b590-e811-8137-3863bb35bfb8,Champion,Savannah,East,2024,Social Media,Social Media,-5.34564E+18,ffff913d5363e9790e5e4bce48c60bb5da5de0686b2853a3774ffd4eb6e2c05d,no_match,David Campos,courtneyberger@example.net,courtneyberger@example.net,5214562328,842 Sloan Orchard Suite 517,East Karenbury,VI,89148,USA,"[{""customer_id"":""db51eff4-8610-ef11-9f8a-000d3a3549cc"",""system_id"":""Champion_CE""}]",1,2024-05-12 17:43:38,2024-05-12 17:43:38,2024-05-22 12:00:00,null,null,null,null,1,1,9,null,null,null,null,null,null,null,null,null,null,"[""Merged Record""]",[],[],null,null,null,null,null,null,null,null,null,null,null,null,null,null
